Date,Close/Last,Volume,Open,High,Low
03/20/2026,$706.95,1718224,$714.72,$717.34,$701.00
03/19/2026,$714.15,849922,$719.08,$728.00,$707.01
03/18/2026,$724.84,545689,$729.99,$731.175,$720.00
03/17/2026,$724.03,764788,$734.44,$736.87,$720.8001
03/16/2026,$735.96,604690,$733.53,$737.395,$726.17
03/13/2026,$733.71,481854,$739.95,$746.89,$728.3379
03/12/2026,$736.30,753636,$736.44,$746.18,$726.575
03/11/2026,$733.18,622720,$730.74,$742.10,$728.5701
03/10/2026,$734.98,642315,$738.00,$744.97,$730.19
03/09/2026,$747.34,910397,$763.00,$765.58,$744.57
03/06/2026,$756.13,772869,$742.27,$758.68,$738.01
03/05/2026,$740.01,919555,$749.64,$751.94,$734.355
03/04/2026,$753.84,1205145,$757.50,$758.2772,$737.75
03/03/2026,$759.11,1304764,$768.85,$774.00,$751.87
03/02/2026,$768.02,1474378,$745.00,$768.22,$739.81
02/27/2026,$724.38,896416,$720.00,$727.29,$714.81
02/26/2026,$710.90,588073,$703.00,$713.81,$700.17
02/25/2026,$703.65,1634856,$727.40,$728.50,$691.0303
02/24/2026,$727.73,734963,$726.56,$734.58,$710.47
02/23/2026,$725.39,567191,$721.26,$731.4525,$719.42
