Date,Close/Last,Volume,Open,High,Low
03/20/2026,$219.30,2266464,$223.38,$223.90,$218.85
03/19/2026,$223.02,1148689,$222.21,$224.81,$221.01
03/18/2026,$221.99,1155041,$224.05,$225.442,$221.99
03/17/2026,$224.77,967041,$225.10,$226.81,$224.2873
03/16/2026,$224.13,874708,$224.95,$225.28,$223.01
03/13/2026,$224.28,1206179,$227.36,$227.56,$223.71
03/12/2026,$225.78,1040017,$224.48,$229.1999,$223.32
03/11/2026,$223.79,996728,$223.05,$225.00,$221.77
03/10/2026,$223.53,1313890,$228.82,$228.82,$220.01
03/09/2026,$230.14,1300435,$229.59,$231.37,$228.08
03/06/2026,$231.05,938855,$230.85,$232.6599,$229.86
03/05/2026,$231.67,1273009,$230.43,$231.79,$228.16
03/04/2026,$231.57,985236,$231.11,$232.20,$230.31
03/03/2026,$232.27,1293126,$230.05,$233.42,$227.49
03/02/2026,$230.37,899160,$230.00,$231.46,$227.9344
02/27/2026,$229.00,1437738,$225.22,$229.32,$225.041
02/26/2026,$224.59,1190314,$222.94,$224.80,$221.14
02/25/2026,$221.59,1139758,$220.74,$221.785,$218.28
02/24/2026,$220.74,1134226,$221.61,$224.19,$219.90
02/23/2026,$221.19,1792068,$219.67,$222.59,$219.038
