Date,Close/Last,Volume,Open,High,Low
03/20/2026,$162.59,1168840,$164.63,$165.95,$162.16
03/19/2026,$164.83,1440111,$163.73,$165.58,$163.62
03/18/2026,$163.71,1120790,$166.74,$166.97,$163.69
03/17/2026,$167.04,885840,$167.77,$168.84,$166.85
03/16/2026,$167.24,931740,$166.60,$167.60,$165.62
03/13/2026,$166.52,1067182,$168.99,$169.46,$165.86
03/12/2026,$166.96,1762997,$166.48,$169.97,$166.14
03/11/2026,$166.69,1036654,$165.47,$167.325,$164.67
03/10/2026,$165.54,1407740,$171.31,$171.31,$163.93
03/09/2026,$171.73,1333196,$168.79,$172.14,$167.75
03/06/2026,$170.14,2012884,$169.71,$171.90,$168.67
03/05/2026,$170.73,1960081,$170.95,$170.95,$167.41
03/04/2026,$169.84,1626087,$171.59,$172.315,$169.74
03/03/2026,$172.57,1325274,$172.24,$173.42,$170.01
03/02/2026,$173.16,1123680,$171.24,$173.94,$170.97
02/27/2026,$172.13,1863325,$170.00,$172.47,$168.835
02/26/2026,$169.34,1708740,$167.93,$169.92,$166.2675
02/25/2026,$166.60,1866603,$166.15,$167.08,$164.75
02/24/2026,$165.48,2005813,$163.06,$166.96,$163.06
02/23/2026,$163.00,1865453,$164.20,$164.44,$162.08
