Date,Close/Last,Volume,Open,High,Low
03/20/2026,$231.24,2526826,$234.19,$234.99,$230.08
03/19/2026,$233.83,1771141,$234.66,$237.00,$233.62
03/18/2026,$233.79,1226168,$235.08,$237.33,$233.74
03/17/2026,$236.05,1438718,$238.64,$239.44,$235.72
03/16/2026,$236.96,2160579,$238.82,$239.625,$236.00
03/13/2026,$238.53,2240826,$238.66,$240.67,$237.0596
03/12/2026,$238.61,2579908,$236.18,$242.24,$235.25
03/11/2026,$236.50,1631537,$235.17,$237.40,$234.05
03/10/2026,$235.54,2660067,$244.62,$244.64,$234.71
03/09/2026,$246.51,3293112,$243.37,$247.98,$242.74
03/06/2026,$246.05,3528206,$245.07,$248.13,$244.49
03/05/2026,$246.09,3801071,$242.63,$246.45,$240.55
03/04/2026,$243.95,2413104,$241.76,$244.51,$240.50
03/03/2026,$243.44,2151863,$242.52,$244.88,$238.215
03/02/2026,$243.07,2501564,$241.83,$244.611,$240.33
02/27/2026,$240.84,2612816,$235.89,$241.23,$235.19
02/26/2026,$233.90,2455420,$229.67,$233.98,$227.55
02/25/2026,$228.10,2230029,$229.22,$229.89,$227.07
02/24/2026,$229.58,2641678,$230.73,$234.232,$229.36
02/23/2026,$230.56,2157228,$229.53,$231.83,$229.40
